timestamp,application,activity_status,idle_seconds,cpu_percent,memory_percent,battery_percent,charging,duration_seconds,previous_application,application_switch,previous_window,window_switch,active_duration_seconds,idle_duration_seconds,session_id,total_application_switches,idle_ratio,switch_frequency,unique_app_count,avg_cpu,avg_memory,hour,day_of_week,is_weekend,cluster_id,behavior_label,anomaly_score,is_anomaly
2026-09-15 09:00:00,Visual Studio Code,Idle,5,9.4,52.3,91.0,False,5,Visual Studio Code,False,README.md - VS Code,False,0,5,0,0,1.0,0.0,1,9.4,52.3,9,Tuesday,False,3,Idle-heavy,0.131,False
2026-09-15 09:00:05,Visual Studio Code,Idle,10,5.7,49.9,91.0,False,10,Visual Studio Code,False,README.md - VS Code,False,0,10,0,0,1.0,0.0,1,7.55,51.1,9,Tuesday,False,3,Idle-heavy,0.17,False
2026-09-15 09:00:10,Visual Studio Code,Idle,15,9.2,56.8,91.0,False,15,Visual Studio Code,False,README.md - VS Code,False,0,15,0,0,1.0,0.0,1,8.1,53.0,9,Tuesday,False,3,Idle-heavy,0.174,False
2026-09-15 09:00:15,Visual Studio Code,Idle,20,5.9,64.2,91.0,False,20,Visual Studio Code,False,README.md - VS Code,False,0,20,0,0,1.0,0.0,1,7.55,55.8,9,Tuesday,False,3,Idle-heavy,0.184,False
2026-09-15 09:00:20,Visual Studio Code,Idle,25,13.0,63.7,91.0,False,25,Visual Studio Code,False,README.md - VS Code,False,0,25,0,0,1.0,0.0,1,8.64,57.38,9,Tuesday,False,3,Idle-heavy,0.164,False
2026-09-15 09:00:25,Visual Studio Code,Active,0,35.3,62.1,91.0,False,30,Visual Studio Code,False,README.md - VS Code,False,5,25,0,0,0.8333,0.0,1,13.08,58.17,9,Tuesday,False,3,Idle-heavy,0.114,False
2026-09-15 09:00:30,Visual Studio Code,Active,0,21.0,53.6,91.0,False,35,Visual Studio Code,False,README.md - VS Code,False,10,25,0,0,0.7143,0.0,1,14.21,57.51,9,Tuesday,False,3,Idle-heavy,0.105,False
2026-09-15 09:00:35,Visual Studio Code,Active,0,46.1,61.0,91.0,False,40,Visual Studio Code,False,README.md - VS Code,False,15,25,0,0,0.625,0.0,1,18.2,57.95,9,Tuesday,False,3,Idle-heavy,0.077,False
2026-09-15 09:00:40,Visual Studio Code,Active,0,47.7,60.8,91.0,False,45,Visual Studio Code,False,README.md - VS Code,False,20,25,0,0,0.5556,0.0,1,21.48,58.27,9,Tuesday,False,3,Idle-heavy,0.102,False
2026-09-15 09:00:45,Visual Studio Code,Active,0,19.0,54.3,91.0,False,50,Visual Studio Code,False,README.md - VS Code,False,25,25,0,0,0.5,0.0,1,21.23,57.87,9,Tuesday,False,3,Idle-heavy,0.06,False
2026-09-15 09:00:50,Visual Studio Code,Active,0,37.7,55.9,91.0,False,55,Visual Studio Code,False,README.md - VS Code,False,30,25,0,0,0.4545,0.0,1,22.73,57.69,9,Tuesday,False,3,Idle-heavy,0.07,False
2026-09-15 09:00:55,Visual Studio Code,Active,0,25.9,59.7,91.0,False,60,Visual Studio Code,False,README.md - VS Code,False,35,25,0,0,0.4167,0.0,1,22.99,57.86,9,Tuesday,False,0,Focused work,0.06,False
2026-09-15 09:01:00,Visual Studio Code,Active,0,20.7,48.9,91.0,False,65,Visual Studio Code,False,README.md - VS Code,False,40,25,0,0,0.3846,0.0,1,22.82,57.17,9,Tuesday,False,0,Focused work,0.07,False
2026-09-15 09:01:05,Visual Studio Code,Active,0,35.9,57.4,91.0,False,70,Visual Studio Code,False,README.md - VS Code,True,45,25,0,0,0.3571,0.0,1,23.75,57.19,9,Tuesday,False,0,Focused work,0.061,False
2026-09-15 09:01:10,Visual Studio Code,Active,0,44.5,63.0,91.0,False,75,Visual Studio Code,False,Terminal - VS Code,False,50,25,0,0,0.3333,0.0,1,25.13,57.57,9,Tuesday,False,0,Focused work,0.042,False
2026-09-15 09:01:15,Visual Studio Code,Active,0,47.2,63.2,91.0,False,80,Visual Studio Code,False,Terminal - VS Code,True,55,25,0,0,0.3125,0.0,1,26.51,57.92,9,Tuesday,False,0,Focused work,0.022,False
2026-09-15 09:01:20,Visual Studio Code,Active,0,24.0,55.5,91.0,False,85,Visual Studio Code,False,README.md - VS Code,False,60,25,0,0,0.2941,0.0,1,26.36,57.78,9,Tuesday,False,0,Focused work,0.079,False
2026-09-15 09:01:25,Visual Studio Code,Active,0,32.7,50.2,91.0,False,90,Visual Studio Code,False,README.md - VS Code,False,65,25,0,0,0.2778,0.0,1,26.72,57.36,9,Tuesday,False,0,Focused work,0.078,False
2026-09-15 09:01:30,Visual Studio Code,Active,0,35.0,49.6,91.0,False,95,Visual Studio Code,False,README.md - VS Code,False,70,25,0,0,0.2632,0.0,1,27.15,56.95,9,Tuesday,False,0,Focused work,0.064,False
2026-09-15 09:01:35,Visual Studio Code,Active,0,37.8,66.9,91.0,False,100,Visual Studio Code,False,README.md - VS Code,False,75,25,0,0,0.25,0.0,1,27.69,57.45,9,Tuesday,False,0,Focused work,0.042,False
